,route_or_line,time,gated_entries,temp,precip,preciptype,snow,traincnt,date
200,Red Line,2022-01-05 08:00:00,2628.73,40.9,0.126,rain,0.0,0,2022-01-05
201,Red Line,2022-01-05 08:30:00,2139.55,40.9,0.126,rain,0.0,0,2022-01-05
202,Red Line,2022-01-05 09:00:00,1637.71,40.9,0.126,rain,0.0,0,2022-01-05
203,Red Line,2022-01-05 09:30:00,1309.51,40.9,0.126,rain,0.0,4,2022-01-05
204,Red Line,2022-01-05 10:00:00,1275.86,40.9,0.126,rain,0.0,10,2022-01-05
205,Red Line,2022-01-05 10:30:00,1065.15,40.9,0.126,rain,0.0,18,2022-01-05
206,Red Line,2022-01-05 11:00:00,1068.43,40.9,0.126,rain,0.0,21,2022-01-05
207,Red Line,2022-01-05 11:30:00,1159.28,40.9,0.126,rain,0.0,22,2022-01-05
208,Red Line,2022-01-05 12:00:00,1112.59,40.9,0.126,rain,0.0,24,2022-01-05
209,Red Line,2022-01-05 12:30:00,1282.14,40.9,0.126,rain,0.0,24,2022-01-05
210,Red Line,2022-01-05 13:00:00,1506.64,40.9,0.126,rain,0.0,24,2022-01-05
211,Red Line,2022-01-05 13:30:00,1469.67,40.9,0.126,rain,0.0,24,2022-01-05
212,Red Line,2022-01-05 14:00:00,1728.98,40.9,0.126,rain,0.0,24,2022-01-05
213,Red Line,2022-01-05 14:30:00,1921.74,40.9,0.126,rain,0.0,24,2022-01-05
214,Red Line,2022-01-05 15:00:00,2499.26,40.9,0.126,rain,0.0,23,2022-01-05
215,Red Line,2022-01-05 15:30:00,2213.46,40.9,0.126,rain,0.0,22,2022-01-05
216,Red Line,2022-01-05 16:00:00,2529.31,40.9,0.126,rain,0.0,20,2022-01-05
217,Red Line,2022-01-05 16:30:00,2707.51,40.9,0.126,rain,0.0,19,2022-01-05
218,Red Line,2022-01-05 17:00:00,2933.65,40.9,0.126,rain,0.0,18,2022-01-05
219,Red Line,2022-01-05 17:30:00,2282.21,40.9,0.126,rain,0.0,19,2022-01-05
220,Red Line,2022-01-05 18:00:00,1926.31,40.9,0.126,rain,0.0,19,2022-01-05
221,Red Line,2022-01-05 18:30:00,1396.11,40.9,0.126,rain,0.0,19,2022-01-05
222,Red Line,2022-01-05 19:00:00,1207.68,40.9,0.126,rain,0.0,22,2022-01-05
223,Red Line,2022-01-05 19:30:00,857.42,40.9,0.126,rain,0.0,23,2022-01-05
224,Red Line,2022-01-05 20:00:00,762.32,40.9,0.126,rain,0.0,24,2022-01-05
225,Red Line,2022-01-05 20:30:00,634.82,40.9,0.126,rain,0.0,24,2022-01-05
226,Red Line,2022-01-05 21:00:00,712.73,40.9,0.126,rain,0.0,25,2022-01-05
227,Red Line,2022-01-05 21:30:00,657.78,40.9,0.126,rain,0.0,24,2022-01-05
228,Red Line,2022-01-05 22:00:00,655.54,40.9,0.126,rain,0.0,25,2022-01-05
229,Red Line,2022-01-05 22:30:00,411.97,40.9,0.126,rain,0.0,25,2022-01-05
230,Red Line,2022-01-05 23:00:00,438.2,40.9,0.126,rain,0.0,25,2022-01-05
231,Red Line,2022-01-05 23:30:00,192.05,40.9,0.126,rain,0.0,25,2022-01-05
232,Red Line,2022-01-06 00:00:00,126.92,37.5,0.0,"rain,snow",0.2,23,2022-01-06
233,Red Line,2022-01-06 00:30:00,48.7,37.5,0.0,"rain,snow",0.2,23,2022-01-06
234,Red Line,2022-01-06 01:00:00,31.24,37.5,0.0,"rain,snow",0.2,19,2022-01-06
235,Red Line,2022-01-06 01:30:00,14.51,37.5,0.0,"rain,snow",0.2,17,2022-01-06
236,Red Line,2022-01-06 02:00:00,1.0,37.5,0.0,"rain,snow",0.2,17,2022-01-06
237,Red Line,2022-01-06 03:00:00,9.0,37.5,0.0,"rain,snow",0.2,18,2022-01-06
238,Red Line,2022-01-06 03:30:00,4.0,37.5,0.0,"rain,snow",0.2,17,2022-01-06
239,Red Line,2022-01-06 04:00:00,6.42,37.5,0.0,"rain,snow",0.2,18,2022-01-06
240,Red Line,2022-01-06 04:30:00,61.75,37.5,0.0,"rain,snow",0.2,18,2022-01-06
241,Red Line,2022-01-06 05:00:00,684.63,37.5,0.0,"rain,snow",0.2,16,2022-01-06
242,Red Line,2022-01-06 05:30:00,1018.38,37.5,0.0,"rain,snow",0.2,15,2022-01-06
243,Red Line,2022-01-06 06:00:00,1545.39,37.5,0.0,"rain,snow",0.2,8,2022-01-06
244,Red Line,2022-01-06 06:30:00,1778.0,37.5,0.0,"rain,snow",0.2,1,2022-01-06
245,Red Line,2022-01-06 07:00:00,2385.33,37.5,0.0,"rain,snow",0.2,0,2022-01-06
246,Red Line,2022-01-06 07:30:00,2700.76,37.5,0.0,"rain,snow",0.2,0,2022-01-06
247,Red Line,2022-01-06 08:00:00,2619.13,37.5,0.0,"rain,snow",0.2,0,2022-01-06
248,Red Line,2022-01-06 08:30:00,2169.79,37.5,0.0,"rain,snow",0.2,0,2022-01-06
249,Red Line,2022-01-06 09:00:00,1659.44,37.5,0.0,"rain,snow",0.2,4,2022-01-06
250,Red Line,2022-01-06 09:30:00,1380.16,37.5,0.0,"rain,snow",0.2,1,2022-01-06
251,Red Line,2022-01-06 10:00:00,1326.23,37.5,0.0,"rain,snow",0.2,9,2022-01-06
252,Red Line,2022-01-06 10:30:00,1176.57,37.5,0.0,"rain,snow",0.2,18,2022-01-06
253,Red Line,2022-01-06 11:00:00,1120.18,37.5,0.0,"rain,snow",0.2,20,2022-01-06
254,Red Line,2022-01-06 11:30:00,1159.71,37.5,0.0,"rain,snow",0.2,21,2022-01-06
255,Red Line,2022-01-06 12:00:00,1307.31,37.5,0.0,"rain,snow",0.2,22,2022-01-06
256,Red Line,2022-01-06 12:30:00,1307.52,37.5,0.0,"rain,snow",0.2,23,2022-01-06
257,Red Line,2022-01-06 13:00:00,1444.39,37.5,0.0,"rain,snow",0.2,22,2022-01-06
258,Red Line,2022-01-06 13:30:00,1507.52,37.5,0.0,"rain,snow",0.2,23,2022-01-06
259,Red Line,2022-01-06 14:00:00,1820.11,37.5,0.0,"rain,snow",0.2,23,2022-01-06
260,Red Line,2022-01-06 14:30:00,2135.36,37.5,0.0,"rain,snow",0.2,23,2022-01-06
261,Red Line,2022-01-06 15:00:00,2776.94,37.5,0.0,"rain,snow",0.2,23,2022-01-06
262,Red Line,2022-01-06 15:30:00,2479.78,37.5,0.0,"rain,snow",0.2,22,2022-01-06
263,Red Line,2022-01-06 16:00:00,2778.09,37.5,0.0,"rain,snow",0.2,22,2022-01-06
264,Red Line,2022-01-06 16:30:00,2731.92,37.5,0.0,"rain,snow",0.2,22,2022-01-06
265,Red Line,2022-01-06 17:00:00,3252.23,37.5,0.0,"rain,snow",0.2,21,2022-01-06
266,Red Line,2022-01-06 17:30:00,2429.9,37.5,0.0,"rain,snow",0.2,18,2022-01-06
