,route_or_line,date,gated_entries,temp,precip,preciptype,snow,traincnt,single_traincap,line_length_sec,tot_linecap,per_thirty_cap,supply_gap_simple,prev_supply_gap_simple,gated_entries_complex,supply_gap_complex
142,Red Line,2022-05-23,87976.9,64.5,0.0,,0.0,16.541666666666668,852,2520,14093.5,10402.345145833333,-411335.667,15212.779999999999,103189.68000000001,-396122.887
143,Red Line,2022-05-24,97621.81,56.3,0.0,,0.0,17.770833333333332,852,2520,15140.75,11175.315375,-438793.328,14360.241,111982.05099999999,-424433.087
144,Red Line,2022-05-25,102735.23,58.3,0.0,,0.0,17.770833333333332,852,2520,15140.75,11175.315375,-433679.908,14119.27,116854.5,-419560.638
145,Red Line,2022-05-26,108089.54,61.2,0.0,,0.0,17.791666666666668,852,2520,15158.5,11188.416625,-428954.458,15574.645,123664.185,-413379.813
146,Red Line,2022-05-27,110854.95,69.8,0.0,,0.0,17.1875,852,2520,14643.75,10808.482041666666,-407952.188,10963.001,121817.951,-396989.187
147,Red Line,2022-05-28,73970.15,68.5,0.714,rain,0.0,14.1875,852,2520,12087.75,8921.9105625,-354281.557,0.0,73970.15,-354281.557
148,Red Line,2022-05-29,79759.19,66.5,0.0,,0.0,13.416666666666666,852,2520,11431.0,8437.166479166666,-325224.801,942.763,80701.953,-324282.038
149,Red Line,2022-05-30,50268.5,74.9,0.0,,0.0,13.5625,852,2520,11555.25,8528.87475,-359117.488,1686.772,51955.272,-357430.716
150,Red Line,2022-05-31,92801.71,65.4,0.006,rain,0.0,14.6875,852,2520,12513.75,9236.339270833332,-350542.575,14644.332,107446.042,-335898.243
151,Red Line,2022-06-01,94658.22,56.7,0.09,rain,0.0,16.416666666666668,852,2520,13987.0,10323.738083333334,-400881.208,16154.501999999999,110812.722,-384726.706
152,Red Line,2022-06-02,99272.97,57.7,0.097,rain,0.0,16.854166666666668,852,2520,14359.75,10598.863083333334,-409472.458,12837.67,112110.64,-396634.788
153,Red Line,2022-06-03,88725.63,56.6,0.015,rain,0.0,16.645833333333332,852,2520,14182.25,10467.85125,-413731.23,8256.524,96982.154,-405474.706
